bind.ll,326408,41391
chown.ll,5168,717
curl.ll,10228,785
date.ll,7613,979
diff.ll,5331,842
dnsproxy.ll,583,79
du.ll,19168,2756
echo.ll,1687,305
gzip.ll,2952,420
httpd.ll,75032,6927
id.ll,2368,418
kill.ll,1819,348
knock.ll,124,17
knockd.ll,2062,177
lighttpd.ll,34932,3527
memcached-1.6.15.ll,22167,2691
mini_httpd.ll,2935,323
nginx.ll,116710,9307
objdump.ll,209651,21984
postgres_backend.ll,880507,126401
psql.ll,37921,3798
readelf.ll,76842,8325
redis-cli-7.0.4.ll,179267,49961
redis-sentinel-7.0.4.ll,313825,67797
redis-server-7.0.4.ll,313825,67797
redis-server.ll,302314,65001
rm.ll,5282,728
sort.ll,9902,1549
tcpdump.ll,152999,11945
uniq.ll,2340,442
wc.ll,3000,509
wget.ll,30069,4036
